abs_id,file_name,file_name_date,file_name_player_name,file_name_pitcher_type,file_name_at_bat_number,file_name_result,is_filename_result_consistent,inning,at_bat_result,weather,game_time
1,2022-09-10 Jose Ramos VS 右投 打席2_二飛.mp4,2022-09-10,Jose Ramos,RHP,2,二飛,TRUE,4,4F,sunny,day
2,2022-09-01 Jose Ramos VS 左投 打席1_三振.mp4,2022-09-01,Jose Ramos,LHP,1,三振,TRUE,1,SK,sunny,day
3,2022-08-19 Jose Ramos VS 右投 打席3_游滾.mp4,2022-08-19,Jose Ramos,RHP,3,游滾,TRUE,5,6G,unknown,unknown
4,2022-08-23 Jose Ramos VS 左投 打席1_左全.mp4,2022-08-23,Jose Ramos,LHP,1,左全,TRUE,1,7_HR,sunny,day
5,2022-08-10 Jose Ramos VS 右投 打席4_三振.mp4,2022-08-10,Jose Ramos,RHP,4,三振,TRUE,8,CK,sunny,night
6,2022-09-01 Jose Ramos VS 右投 打席3_三振.mp4,2022-09-01,Jose Ramos,RHP,3,三振,TRUE,6,SK,sunny,night
7,2022-08-19 Jose Ramos VS 右投 打席2_左安.mp4,2022-08-19,Jose Ramos,RHP,2,左安,TRUE,3,7_1B,sunny,day
8,2022-09-10 Jose Ramos VS 右投 打席1_三失.mp4,2022-09-10,Jose Ramos,RHP,1,三失,TRUE,1,5G,sunny,day
9,2022-08-19 Jose Ramos VS 右投 打席1_三振.mp4,2022-08-19,Jose Ramos,RHP,1,三振,TRUE,1,SK,sunny,day
10,2022-08-31 Jose Ramos VS 左投 打席1_左飛.mp4,2022-08-31,Jose Ramos,LHP,1,左飛,TRUE,1,7F,sunny,day
11,2022-08-23 Jose Ramos VS 左投 打席3_保送.mp4,2022-08-23,Jose Ramos,LHP,3,保送,TRUE,4,BB,sunny,night
12,2022-08-31 Jose Ramos VS 左投 打席3_三振.mp4,2022-08-31,Jose Ramos,LHP,3,三振,TRUE,5,SK,sunny,night
13,2022-09-10 Jose Ramos VS 右投 打席4_三振.mp4,2022-09-10,Jose Ramos,RHP,4,三振,TRUE,7,SK,sunny,night
14,2022-08-26 Jose Ramos VS 左投 打席3_左飛.mp4,2022-08-26,Jose Ramos,LHP,3,左飛,TRUE,6,7F,sunny,night
15,2022-08-20 Jose Ramos VS 右投 打席5_二安.mp4,2022-08-20,Jose Ramos,RHP,5,二安,TRUE,8,7_2B,sunny,night
16,2022-09-08 Jose Ramos VS 右投 打席3_左安.mp4,2022-09-08,Jose Ramos,RHP,3,左安,TRUE,6,6_1B,cloudy,day
17,2022-08-13 Jose Ramos VS 右投 打席3_左飛.mp4,2022-08-13,Jose Ramos,RHP,3,左飛,TRUE,5,7F,cloudy,day
18,2022-08-26 Jose Ramos VS 左投 打席1_左飛.mp4,2022-08-26,Jose Ramos,LHP,1,左飛,TRUE,1,7F,sunny,day
19,2022-08-20 Jose Ramos VS 右投 打席2_三振.mp4,2022-08-20,Jose Ramos,RHP,2,三振,TRUE,4,SK,sunny,night
20,2022-08-26 Jose Ramos VS 左投 打席2_右飛.mp4,2022-08-26,Jose Ramos,LHP,2,右飛,TRUE,4,9F,sunny,day
21,2022-08-19 Jose Ramos VS 右投 打席5_中二安.mp4,2022-08-19,Jose Ramos,RHP,5,中二安,TRUE,8,8_2B,sunny,night
22,2022-08-10 Jose Ramos VS 右投 打席3_三滾.mp4,2022-08-10,Jose Ramos,RHP,3,三滾,TRUE,6,5G,cloudy,day
23,2022-09-08 Jose Ramos VS 右投 打席4_保送.mp4,2022-09-08,Jose Ramos,RHP,4,保送,TRUE,7,BB,sunny,night
24,2022-08-23 Jose Ramos VS 右投 打席4_三滾.mp4,2022-08-23,Jose Ramos,RHP,4,三滾,TRUE,6,5G,sunny,night
25,2022-08-21 Jose Ramos VS 左投 打席2_投滾.mp4,2022-08-21,Jose Ramos,LHP,2,投滾,TRUE,2,1G,sunny,day
26,2022-08-13 Jose Ramos VS 右投 打席1_中安.mp4,2022-08-13,Jose Ramos,RHP,1,中安,TRUE,1,6_1B,cloudy,day
27,2022-08-31 Jose Ramos VS 左投 打席4_三振.mp4,2022-08-31,Jose Ramos,LHP,4,三振,TRUE,8,SK,sunny,night
28,2022-09-08 Jose Ramos VS 右投 打席1_保送.mp4,2022-09-08,Jose Ramos,RHP,1,保送,TRUE,2,BB,sunny,day
29,2022-09-08 Jose Ramos VS 右投 打席2_右飛.mp4,2022-09-08,Jose Ramos,RHP,2,右飛,TRUE,4,9F,sunny,day
30,2022-08-21 Jose Ramos VS 左投 打席1_三振.mp4,2022-08-21,Jose Ramos,LHP,1,三振,TRUE,1,SK,sunny,day
31,2022-08-21 Jose Ramos VS 左投 打席3_三振.mp4,2022-08-21,Jose Ramos,LHP,3,三振,TRUE,5,SK,sunny,day
32,2022-09-01 Jose Ramos VS 右投 打席2_三振.mp4,2022-09-01,Jose Ramos,RHP,2,三振,TRUE,3,SK,sunny,day
33,2022-08-20 Jose Ramos VS 右投 打席4_中安.mp4,2022-08-20,Jose Ramos,RHP,4,中安,TRUE,7,4_1B,sunny,night
