id,inning,out_count,strike_count,ball_count,is_rhp,at_bat_result,pitch_type,pitch_release,is_obvious_off_zone,is_pitch_ended_catcher_want,has_swing,has_first_base_runner,has_second_base_runner,has_third_base_runner,file_name,RE24,has_stealing_attempt,has_visible_shift,is_filename_result_consistent,file_name_date,file_name_player_name,file_name_pitcher_type,file_name_at_bat_number,file_name_result
,,,,,,,,,,,,,,,2022-09-10 Jose Ramos VS 右投 打席2_二飛.mp4,,,,,2022-09-10,Jose Ramos,RHP,2,二飛
,,,,,,,,,,,,,,,2022-09-01 Jose Ramos VS 左投 打席1_三振.mp4,,,,,2022-09-01,Jose Ramos,LHP,1,三振
,,,,,,,,,,,,,,,2022-08-19 Jose Ramos VS 右投 打席3_游滾.mp4,,,,,2022-08-19,Jose Ramos,RHP,3,游滾
,,,,,,,,,,,,,,,2022-08-23 Jose Ramos VS 左投 打席1_左全.mp4,,,,,2022-08-23,Jose Ramos,LHP,1,左全
,,,,,,,,,,,,,,,2022-08-10 Jose Ramos VS 右投 打席4_三振.mp4,,,,,2022-08-10,Jose Ramos,RHP,4,三振
,,,,,,,,,,,,,,,2022-09-01 Jose Ramos VS 右投 打席3_三振.mp4,,,,,2022-09-01,Jose Ramos,RHP,3,三振
,,,,,,,,,,,,,,,2022-08-19 Jose Ramos VS 右投 打席2_左安.mp4,,,,,2022-08-19,Jose Ramos,RHP,2,左安
,,,,,,,,,,,,,,,2022-09-10 Jose Ramos VS 右投 打席1_三失.mp4,,,,,2022-09-10,Jose Ramos,RHP,1,三失
,,,,,,,,,,,,,,,2022-08-19 Jose Ramos VS 右投 打席1_三振.mp4,,,,,2022-08-19,Jose Ramos,RHP,1,三振
,,,,,,,,,,,,,,,2022-08-31 Jose Ramos VS 左投 打席1_左飛.mp4,,,,,2022-08-31,Jose Ramos,LHP,1,左飛
,,,,,,,,,,,,,,,2022-08-23 Jose Ramos VS 左投 打席3_保送.mp4,,,,,2022-08-23,Jose Ramos,LHP,3,保送
,,,,,,,,,,,,,,,2022-08-31 Jose Ramos VS 左投 打席3_三振.mp4,,,,,2022-08-31,Jose Ramos,LHP,3,三振
,,,,,,,,,,,,,,,2022-09-10 Jose Ramos VS 右投 打席4_三振.mp4,,,,,2022-09-10,Jose Ramos,RHP,4,三振
,,,,,,,,,,,,,,,2022-08-26 Jose Ramos VS 左投 打席3_左飛.mp4,,,,,2022-08-26,Jose Ramos,LHP,3,左飛
,,,,,,,,,,,,,,,2022-08-20 Jose Ramos VS 右投 打席5_二安.mp4,,,,,2022-08-20,Jose Ramos,RHP,5,二安
,,,,,,,,,,,,,,,2022-09-08 Jose Ramos VS 右投 打席3_左安.mp4,,,,,2022-09-08,Jose Ramos,RHP,3,左安
,,,,,,,,,,,,,,,2022-08-13 Jose Ramos VS 右投 打席3_左飛.mp4,,,,,2022-08-13,Jose Ramos,RHP,3,左飛
,,,,,,,,,,,,,,,2022-08-26 Jose Ramos VS 左投 打席1_左飛.mp4,,,,,2022-08-26,Jose Ramos,LHP,1,左飛
,,,,,,,,,,,,,,,2022-08-20 Jose Ramos VS 右投 打席2_三振.mp4,,,,,2022-08-20,Jose Ramos,RHP,2,三振
,,,,,,,,,,,,,,,2022-08-26 Jose Ramos VS 左投 打席2_右飛.mp4,,,,,2022-08-26,Jose Ramos,LHP,2,右飛
,,,,,,,,,,,,,,,2022-08-19 Jose Ramos VS 右投 打席5_中二安.mp4,,,,,2022-08-19,Jose Ramos,RHP,5,中二安
,,,,,,,,,,,,,,,2022-08-10 Jose Ramos VS 右投 打席3_三滾.mp4,,,,,2022-08-10,Jose Ramos,RHP,3,三滾
,,,,,,,,,,,,,,,2022-09-08 Jose Ramos VS 右投 打席4_保送.mp4,,,,,2022-09-08,Jose Ramos,RHP,4,保送
,,,,,,,,,,,,,,,2022-08-23 Jose Ramos VS 右投 打席4_三滾.mp4,,,,,2022-08-23,Jose Ramos,RHP,4,三滾
,,,,,,,,,,,,,,,2022-08-21 Jose Ramos VS 左投 打席2_投滾.mp4,,,,,2022-08-21,Jose Ramos,LHP,2,投滾
